product_slug;variant_name;sku;tone_code;tone_name;units;volume_ml;mass_g;sell_price;cost_price;physical_stock;available_on_demand
girly-polvo-suelto;03 Rosado;BRV-GIR-P003;3;Rosado;;;;33000;33000;0;FALSE
girly-tonico-facial-con-aloe-vera;Único;BRV-GIR-P004;;;;;;36000;36000;0;FALSE
girly-lip-balm;Único;BRV-GIR-P005;;;;;;30000;30000;0;FALSE
girly-lip-liner;Único;BRV-GIR-P006;;;;;;14000;14000;0;FALSE
girly-agua-micelar;Único;BRV-GIR-P007;;;;;;31000;31000;0;FALSE
girly-bruma-facial;Único;BRV-GIR-P008;;;;;;30000;30000;0;FALSE
girly-gel-hidratante-con-aloe-vera;Único;BRV-GIR-P009;;;;;;30000;30000;0;FALSE
girly-mantequilla-corporal;140 g;BRV-GIR-P010;;;;;140;35000;35000;0;FALSE
prosa-pestanina;Fucsia;BRV-PRO-P001;;Fucsia;;;;17000;17000;0;FALSE
prosa-pestanina;Café;BRV-PRO-P002;;Café;;;;17000;17000;0;FALSE
prosa-pestanina;Morada;BRV-PRO-P003;;Morada;;;;17000;17000;0;FALSE
prosa-pestanina;Gris Clara;BRV-PRO-P004;;Gris Clara;;;;17000;17000;0;FALSE
prosa-pestanina;Gris Oscura;BRV-PRO-P005;;Gris Oscura;;;;17000;17000;0;FALSE
prosa-crystal-proteina-gel;Único;BRV-PRO-P006;;;;;;16000;16000;0;FALSE
milagros-shampoo-herbal;Único;BRV-MIL-P001;;;;;;38000;38000;0;FALSE
milagros-acondicionador-herbal;Único;BRV-MIL-P002;;;;;;39000;39000;0;FALSE
milagros-shampoo-emergencia-capilar;Único;BRV-MIL-P003;;;;;;38000;38000;0;FALSE
milagros-tratamiento-emergencia-capilar;Único;BRV-MIL-P004;;;;;;39000;39000;0;FALSE
milagros-shampoo-crecimiento;Único;BRV-MIL-P005;;;;;;39000;39000;0;FALSE
milagros-acondicionador-fortalecedor;Único;BRV-MIL-P006;;;;;;38000;38000;0;FALSE
milagros-shampoo-ultranutritivo;Único;BRV-MIL-P007;;;;;;38000;38000;0;FALSE
